index,predicate,xmlName
1.1.1.1.8.8.1,http://data.europa.eu/949/complianceInfTsi,ITU_TSITunnel
1.1.1.1.8.8.2,http://data.europa.eu/949/tunnelDocRef,ITU_TunnelDocRef
1.1.1.1.8.9,http://data.europa.eu/949/hasEmergencyPlan,ITU_EmergencyPlan
1.1.1.1.8.10,http://data.europa.eu/949/rollingStockFireCategory,ITU_FireCatReq
1.1.1.1.8.11,http://data.europa.eu/949/nationalRollingStockFireCategory,TU_NatFireCatReq
1.1.1.2.1.1,http://data.europa.eu/949/verificationENE,EDE_ECVerification
1.1.1.2.1.2,http://data.europa.eu/949/demonstrationENE,EDE_EIDemonstration
1.1.1.2.2.1.1,http://data.europa.eu/949/contactLineSystemType,ECS_SystemType
1.1.1.2.2.1.2,http://data.europa.eu/949/energySupplySystem,ECS_VoltFreq
1.1.1.2.2.1.2.1,http://data.europa.eu/949/energySupplySystemTSICompliant,ECS_TSIVoltFreq
1.1.1.2.2.1.3,http://data.europa.eu/949/umax2,ECS_Umax2
1.1.1.2.2.2,http://data.europa.eu/949/maxTrainCurrent,ECS_MaxTrainCurrent
1.1.1.2.2.3,http://data.europa.eu/949/maxCurrentStandstillPantograph,ECS_MaxStandstillCurrent
1.1.1.2.2.4,http://data.europa.eu/949/hasRegenerativeBrake,ECS_RegenerativeBraking
1.1.1.2.2.4,http://data.europa.eu/949/conditionalRegenerativeBrake,ECS_RegenerativeBraking,TODO
1.1.1.2.2.5,http://data.europa.eu/949/maximumContactWireHeight,ECS_MaxWireHeight
1.1.1.2.2.6,http://data.europa.eu/949/minimumContactWireHeight,ECS_MinWireHeight
1.1.1.2.3.1,http://data.europa.eu/949/pantographHead,EPA_TSIHeads
1.1.1.2.3.2,http://data.europa.eu/949/pantographHead,EPA_OtherHeads
1.1.1.2.3.3,http://data.europa.eu/949/raisedPantographsDistanceAndSpeed,EPA_NumRaisedSpeed
1.1.1.2.3.4,http://data.europa.eu/949/contactStripMaterial,EPA_StripMaterial
1.1.1.2.4.1.1,http://data.europa.eu/949/phaseSeparation,EOS_Phase
1.1.1.2.4.1.2,http://data.europa.eu/949/phaseInfo,EOS_InfoPhase
1.1.1.2.4.2.1,http://data.europa.eu/949/hasSystemSeparation,EOS_System
1.1.1.2.4.2.2,http://data.europa.eu/949/systemSeparationInfo,EOS_InfoSystem
1.1.1.2.4.3,http://data.europa.eu/949/distSignToPhaseEnd,EOS_DistSignToPhaseEnd
1.1.1.2.5.1,http://data.europa.eu/949/currentLimitationRequired,ERS_PowerLimitOnBoard
1.1.1.2.5.2,http://data.europa.eu/949/permittedContactForce,ERS_ContactForce
